id,last_scraped,days,host_since,country,room_type,bathrooms,bedrooms,price,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable,Sydney
16194102,42829,489,42340,Australia,Entire home/apt,2,2,152,0,,,,t,1
16231561,42830,160,42670,Australia,Entire home/apt,1,0,95,19,10,10,9,t,1
15526112,42830,480,42350,Australia,Entire home/apt,1,3,300,4,10,10,9,f,1
4849322,42830,1486,41344,Australia,Private room,2,1,75,23,9,10,10,f,1
11537464,42829,403,42426,Australia,Entire home/apt,4,4,1000,1,10,10,8,f,1
8956578,42829,541,42288,Australia,Entire home/apt,2,3,250,4,10,10,9,f,1
15749144,42829,156,42673,Australia,Entire home/apt,1,1,85,1,10,10,10,f,1
8377514,42830,569,42261,Australia,Entire home/apt,2,2,92,2,10,10,9,f,1
14659573,42829,532,42297,Australia,Entire home/apt,1,3,395,9,10,8,9,t,1
16229346,42829,419,42410,Australia,Entire home/apt,2,2,200,1,10,10,8,f,1
9298744,42829,673,42156,Australia,Entire home/apt,1,1,99,26,10,10,10,f,1
9079745,42829,528,42301,Australia,Entire home/apt,3.5,6,950,17,10,10,9,f,1
4608308,42829,1206,41623,Australia,Entire home/apt,1,1,166,6,10,10,9,f,1
16221455,42829,444,42385,Australia,Entire home/apt,1,1,100,5,10,10,10,f,1
9959193,42829,479,42350,Australia,Entire home/apt,1,0,100,25,10,10,10,f,1
4584595,42830,872,41958,Australia,Entire home/apt,1,3,399,1,10,10,10,f,1
13629460,42830,547,42283,Australia,Private room,1,1,89,0,,,,f,1
16770866,42830,600,42230,Australia,Entire home/apt,1,1,141,0,,,,t,1
17497905,42830,202,42628,Australia,Private room,1,0,120,5,10,10,10,t,1
9243937,42830,534,42296,Australia,Entire home/apt,2,4,399,1,10,8,10,t,1
17847325,42829,13,42816,Australia,Entire home/apt,2,2,180,0,,,,t,1
13520997,42829,1043,41786,Australia,Private room,1,1,150,0,,,,f,1
15329201,42830,367,42463,Australia,Entire home/apt,1,0,75,10,10,9,10,f,1
7873019,42829,599,42230,Australia,Entire home/apt,2,3,100,10,10,9,9,f,1
11064388,42829,935,41894,Australia,Entire home/apt,3,6,1401,0,,,,f,1
9960465,42830,479,42351,Australia,Entire home/apt,2,3,200,0,,,,f,1
16182270,42829,456,42373,Australia,Entire home/apt,2,4,208,0,,,,f,1
301574,42829,2849,39980,Australia,Entire home/apt,2,3,208,0,,,,f,1
16054572,42829,135,42694,Australia,Entire home/apt,1,2,189,8,10,9,10,f,1
17496695,42829,35,42794,Australia,Entire home/apt,1.5,2,150,0,,,,f,1
15261711,42829,1291,41538,Australia,Entire home/apt,1,1,175,45,10,10,10,t,1
6546396,42829,679,42150,Australia,Entire home/apt,1,2,120,6,10,10,10,f,1
3669962,42830,1414,41416,Australia,Private room,1,1,95,41,9,10,10,f,1
8691754,42830,667,42163,Australia,Private room,1,1,169,20,10,10,10,t,1
17998724,42829,3,42826,Australia,Entire home/apt,1,3,250,0,,,,t,1
17097317,42829,60,42769,Australia,Entire home/apt,1.5,2,300,0,,,,t,1
14455472,42829,237,42592,Australia,Private room,1,1,250,0,,,,t,1
13361911,42829,476,42353,Australia,Entire home/apt,1.5,3,451,1,10,8,10,f,1
6092940,42830,716,42114,Australia,Entire home/apt,1,1,100,34,10,10,10,f,1
9829360,42830,486,42344,Australia,Entire home/apt,1,4,210,0,,,,f,1
4345073,42829,1277,41552,Australia,Entire home/apt,1,0,175,105,10,10,9,t,1
16246993,42830,121,42709,Australia,Entire home/apt,1,3,451,0,,,,t,1
16740367,42830,265,42565,Australia,Private room,1,1,148,8,10,10,10,f,1
5673520,42829,1002,41827,Australia,Private room,2,1,66,0,,,,f,1
10417407,42830,816,42014,Australia,Entire home/apt,1,1,120,61,10,10,10,f,1
9012648,42829,532,42297,Australia,Private room,1,1,275,5,10,10,10,t,1
16245554,42829,673,42156,Australia,Entire home/apt,1,1,99,4,8,10,10,t,1
16314852,42830,456,42374,Australia,Private room,1,1,197,7,9,10,9,f,1
1240947,42829,1398,41431,Australia,Private room,1,1,200,30,10,10,9,f,1
13098938,42829,512,42317,Australia,Private room,1,1,210,0,,,,f,1
16900534,42829,569,42260,Australia,Private room,1,1,71,6,10,10,8,f,1
3321966,42829,1025,41804,Australia,Entire home/apt,1,1,100,45,10,10,10,f,1
