BookID,Challenged Title,Author or Performer,Date of Report,Days2000,Material Removed,AntiEthnic,Insensitivity,Racism,Sexism,Inaccurate,Other Ground,Homosexuality,Nudity,Sex Education,Sexually Explicit,AntiFamily,Offensive Language,Political Viewpoint,Religious Viewpoint,Unsuited to Age Group,Abortion,Drugs,Occult or Satanism,Suicide,Violence,NumChallenge,Challenged State,pvi2,Population,PercentHS,PercentBA,MedianIncome,FrequentlyChallenged
927,"House of the Spirits, The","Allende, Isabel",4/28/2005,1917,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,8,AK,-13.4,626932,88.3,24.7,61967,0
1024,"It's Not the Stork!:  A Book About Girls, Boys, Babies and Bodies","Harris, Robie",3/19/2008,2958,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,AK,-13.4,626932,88.3,24.7,61967,1
1087,King Stork,"Pyle, Howard",11/18/2008,3197,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,AK,-13.4,626932,88.3,24.7,61967,0
936,How They Met and Other Stories,"Levithan, David",11/21/2008,3200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AK,-13.4,626932,88.3,24.7,61967,0
764,Ghost in the Shell,"Masamune, Shirow",11/18/2008,3197,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AK,-13.4,626932,88.3,24.7,61967,0
1087,King Stork,"Pyle, Howard",10/2/2003,1351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,AK,-13.4,626932,88.3,24.7,61967,0
1489,Queer,"Gage, Simon",10/2/2003,1351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AK,-13.4,626932,88.3,24.7,61967,0
2023,Witness,"Hesse, Karen",10/2/2003,1351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AK,-13.4,626932,88.3,24.7,61967,0
1025,It's Perfectly Normal,"Harris, Robie",1/2/2002,721,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AK,-13.4,626932,88.3,24.7,61967,1
318,"Brimstone Journals, The","Koertge, Ron",3/2/2006,2221,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8,AL,-13.2,4447100,75.3,19,41205.5,0
1972,When She Was Good,"Mazer, Norma Fox",12/31/2008,3240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,AL,-13.2,4447100,75.3,19,41205.5,0
1941,Whale Talk,"Crutcher, Chris",7/7/2005,1986,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,AL,-13.2,4447100,75.3,19,41205.5,1
988,In the Break,"Lopez, Jack",1/27/2010,3626,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,AL,-13.2,4447100,75.3,19,41205.5,0
63,Abduction,"Kehret, Peg",12/31/2008,3240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,AL,-13.2,4447100,75.3,19,41205.5,0
255,Bling Bling:  Hip Hop's Crown Jewels,"Oh, Minya",12/31/2008,3240,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AL,-13.2,4447100,75.3,19,41205.5,0
1941,Whale Talk,"Crutcher, Chris",5/5/2005,1924,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AL,-13.2,4447100,75.3,19,41205.5,1
1088,Kira-Kira,"Kadohata, Cynthia",12/31/2008,3240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,AL,-13.2,4447100,75.3,19,41205.5,0
