"","X","distschNum","year08","districtType","MathAvgScore","MonPerChild","schoolName","schPctnonw","schPctsped","schPctfree","city","urban"
"1",1,"Dtype 1 Dnum 1 Snum 2",0,1,652.8,7999.620291,"RIPPLESIDE ELEMENTARY",0,0.117647059,0.362745098,"Aitkin",0
"2",2,"Dtype 1 Dnum 1 Snum 2",1,1,656.6,8265.86092,"RIPPLESIDE ELEMENTARY",0,0.117647059,0.362745098,"Aitkin",0
"3",3,"Dtype 1 Dnum 1 Snum 2",2,1,652.6,8119.345349,"RIPPLESIDE ELEMENTARY",0,0.117647059,0.362745098,"Aitkin",0
"4",4,"Dtype 1 Dnum 100 Snum 1",0,1,646.9,7681.90671,"WRENSHALL ELEMENTARY",0.03030303,0.151515152,0.424242424,"Wrenshall",0
"5",5,"Dtype 1 Dnum 100 Snum 1",1,1,645.3,8510.581788,"WRENSHALL ELEMENTARY",0.03030303,0.151515152,0.424242424,"Wrenshall",0
"6",6,"Dtype 1 Dnum 100 Snum 1",2,1,651.9,8357.470495,"WRENSHALL ELEMENTARY",0.03030303,0.151515152,0.424242424,"Wrenshall",0
"7",7,"Dtype 1 Dnum 108 Snum 30",0,1,654.7,8664.50782,"CENTRAL MIDDLE",0.076923077,0.123076923,0.261538462,"Norwood",0
"8",8,"Dtype 1 Dnum 108 Snum 30",1,1,658.5,9165.449773,"CENTRAL MIDDLE",0.076923077,0.123076923,0.261538462,"Norwood",0
"9",9,"Dtype 1 Dnum 108 Snum 30",2,1,659.7,9146.705945,"CENTRAL MIDDLE",0.076923077,0.123076923,0.261538462,"Norwood",0
"10",10,"Dtype 1 Dnum 11 Snum 121",0,1,656.4,9083.46539,"SANDBURG MIDDLE",0.097744361,0.082706767,0.248120301,"Coon Rapids",1
"11",11,"Dtype 1 Dnum 11 Snum 121",1,1,656.8,9808.986781,"SANDBURG MIDDLE",0.097744361,0.082706767,0.248120301,"Coon Rapids",1
"12",12,"Dtype 1 Dnum 11 Snum 121",2,1,659.9,9738.817842,"SANDBURG MIDDLE",0.097744361,0.082706767,0.248120301,"Coon Rapids",1
"13",13,"Dtype 1 Dnum 11 Snum 193",0,1,657.7,9083.46539,"OAK VIEW MIDDLE",0.053789731,0.095354523,0.141809291,"Coon Rapids",1
"14",14,"Dtype 1 Dnum 11 Snum 193",1,1,658.2,9808.986781,"OAK VIEW MIDDLE",0.053789731,0.095354523,0.141809291,"Coon Rapids",1
"15",15,"Dtype 1 Dnum 11 Snum 193",2,1,659.8,9738.817842,"OAK VIEW MIDDLE",0.053789731,0.095354523,0.141809291,"Coon Rapids",1
"16",16,"Dtype 1 Dnum 11 Snum 195",0,1,655.9,9083.46539,"ROOSEVELT MIDDLE",0.123417722,0.088607595,0.240506329,"Coon Rapids",1
"17",17,"Dtype 1 Dnum 11 Snum 195",1,1,659.1,9808.986781,"ROOSEVELT MIDDLE",0.123417722,0.088607595,0.240506329,"Coon Rapids",1
"18",18,"Dtype 1 Dnum 11 Snum 195",2,1,660.3,9738.817842,"ROOSEVELT MIDDLE",0.123417722,0.088607595,0.240506329,"Coon Rapids",1
"19",19,"Dtype 1 Dnum 11 Snum 3",0,1,652,9083.46539,"FRED MOORE MIDDLE SCHOOL",0.196319018,0.104294479,0.380368098,"Coon Rapids",1
"20",20,"Dtype 1 Dnum 11 Snum 3",1,1,651.8,9808.986781,"FRED MOORE MIDDLE SCHOOL",0.196319018,0.104294479,0.380368098,"Coon Rapids",1
"21",21,"Dtype 1 Dnum 11 Snum 3",2,1,656.5,9738.817842,"FRED MOORE MIDDLE SCHOOL",0.196319018,0.104294479,0.380368098,"Coon Rapids",1
"22",22,"Dtype 1 Dnum 11 Snum 4",0,1,656.1,9083.46539,"COON RAPIDS MIDDLE SCHOOL",0.209359606,0.123152709,0.384236453,"Coon Rapids",1
"23",23,"Dtype 1 Dnum 11 Snum 4",1,1,657.4,9808.986781,"COON RAPIDS MIDDLE SCHOOL",0.209359606,0.123152709,0.384236453,"Coon Rapids",1
"24",24,"Dtype 1 Dnum 11 Snum 4",2,1,658.8,9738.817842,"COON RAPIDS MIDDLE SCHOOL",0.209359606,0.123152709,0.384236453,"Coon Rapids",1
"25",25,"Dtype 1 Dnum 11 Snum 6",0,1,654.9,9083.46539,"JACKSON MIDDLE",0.271375465,0.074349442,0.286245353,"Coon Rapids",1
"26",26,"Dtype 1 Dnum 11 Snum 6",1,1,655.3,9808.986781,"JACKSON MIDDLE",0.271375465,0.074349442,0.286245353,"Coon Rapids",1
"27",27,"Dtype 1 Dnum 11 Snum 6",2,1,656.3,9738.817842,"JACKSON MIDDLE",0.271375465,0.074349442,0.286245353,"Coon Rapids",1
"28",28,"Dtype 1 Dnum 11 Snum 90",0,1,654.4,9083.46539,"NORTHDALE MIDDLE",0.236503856,0.110539846,0.362467866,"Coon Rapids",1
"29",29,"Dtype 1 Dnum 11 Snum 90",1,1,656.1,9808.986781,"NORTHDALE MIDDLE",0.236503856,0.110539846,0.362467866,"Coon Rapids",1
"30",30,"Dtype 1 Dnum 11 Snum 90",2,1,657.1,9738.817842,"NORTHDALE MIDDLE",0.236503856,0.110539846,0.362467866,"Coon Rapids",1
"31",31,"Dtype 1 Dnum 110 Snum 220",0,1,653.7,8111.388221,"CLEARWATER MIDDLE",0.075697211,0.143426295,0.103585657,"Waconia",1
"32",32,"Dtype 1 Dnum 110 Snum 220",1,1,655,8492.347482,"CLEARWATER MIDDLE",0.075697211,0.143426295,0.103585657,"Waconia",1
"33",33,"Dtype 1 Dnum 110 Snum 220",2,1,655.6,8375.429704,"CLEARWATER MIDDLE",0.075697211,0.143426295,0.103585657,"Waconia",1
"34",34,"Dtype 1 Dnum 111 Snum 841",0,1,654.2,7919.360788,"WATERTOWN-MAYER MIDDLE",0.053571429,0.098214286,0.25,"Watertown",1
"35",35,"Dtype 1 Dnum 111 Snum 841",1,1,647.5,8278.887905,"WATERTOWN-MAYER MIDDLE",0.053571429,0.098214286,0.25,"Watertown",1
"36",36,"Dtype 1 Dnum 111 Snum 841",2,1,657,8240.568207,"WATERTOWN-MAYER MIDDLE",0.053571429,0.098214286,0.25,"Watertown",1
"37",37,"Dtype 1 Dnum 112 Snum 61",0,1,656.4,8871.670533,"CHASKA MIDDLE SCHOOL EAST",0.085427136,0.085427136,0.105527638,"Chaska",1
"38",38,"Dtype 1 Dnum 112 Snum 61",1,1,655.9,9071.978369,"CHASKA MIDDLE SCHOOL EAST",0.085427136,0.085427136,0.105527638,"Chaska",1
"39",39,"Dtype 1 Dnum 112 Snum 61",2,1,660.1,8944.241454,"CHASKA MIDDLE SCHOOL EAST",0.085427136,0.085427136,0.105527638,"Chaska",1
"40",40,"Dtype 1 Dnum 112 Snum 62",0,1,659.1,8871.670533,"CHASKA MIDDLE SCHOOL WEST",0.111111111,0.102222222,0.137777778,"Chaska",1
"41",41,"Dtype 1 Dnum 112 Snum 62",1,1,657.5,9071.978369,"CHASKA MIDDLE SCHOOL WEST",0.111111111,0.102222222,0.137777778,"Chaska",1
"42",42,"Dtype 1 Dnum 112 Snum 62",2,1,659.8,8944.241454,"CHASKA MIDDLE SCHOOL WEST",0.111111111,0.102222222,0.137777778,"Chaska",1
"43",43,"Dtype 1 Dnum 112 Snum 63",2,1,659.5,8944.241454,"PIONEER RIDGE MIDDLE SCHOOL",0.104545455,0.122727273,0.15,"Chaska",1
"44",44,"Dtype 1 Dnum 113 Snum 10",1,1,651.7,8798.293171,"W.H.A. ELEMENTARY",0.161290323,0.161290323,0.467741935,"Walker",0
"45",45,"Dtype 1 Dnum 113 Snum 10",2,1,653.8,8886.810837,"W.H.A. ELEMENTARY",0.161290323,0.161290323,0.467741935,"Walker",0
"46",46,"Dtype 1 Dnum 115 Snum 20",0,1,649.6,10925.15113,"CASS LAKE-BENA MIDDLE SCHOOL",0.92,0.266666667,0.786666667,"Cass Lake",0
"47",47,"Dtype 1 Dnum 115 Snum 20",1,1,650.4,11360.59308,"CASS LAKE-BENA MIDDLE SCHOOL",0.92,0.266666667,0.786666667,"Cass Lake",0
"48",48,"Dtype 1 Dnum 115 Snum 20",2,1,651.7,11049.59954,"CASS LAKE-BENA MIDDLE SCHOOL",0.92,0.266666667,0.786666667,"Cass Lake",0
"49",49,"Dtype 1 Dnum 116 Snum 10",0,1,645,8513.475357,"PILLAGER ELEMENTARY",0.01754386,0.175438596,0.50877193,"Pillager",0
"50",50,"Dtype 1 Dnum 116 Snum 10",1,1,650.4,8620.390646,"PILLAGER ELEMENTARY",0.01754386,0.175438596,0.50877193,"Pillager",0
"51",51,"Dtype 1 Dnum 116 Snum 10",2,1,649.7,8592.443915,"PILLAGER ELEMENTARY",0.01754386,0.175438596,0.50877193,"Pillager",0
"52",52,"Dtype 1 Dnum 118 Snum 10",0,1,663.6,11931.48277,"REMER ELEMENTARY",0.138888889,0.222222222,0.638888889,"Remer",0
"53",53,"Dtype 1 Dnum 118 Snum 10",1,1,663,12520.89607,"REMER ELEMENTARY",0.138888889,0.222222222,0.638888889,"Remer",0
"54",54,"Dtype 1 Dnum 118 Snum 10",2,1,663.7,11977.76227,"REMER ELEMENTARY",0.138888889,0.222222222,0.638888889,"Remer",0
"55",55,"Dtype 1 Dnum 12 Snum 166",0,1,656.5,8860.904407,"CENTENNIAL MIDDLE",0.086,0.144,0.182,"Circle Pines",1
"56",56,"Dtype 1 Dnum 12 Snum 166",1,1,655,9061.724677,"CENTENNIAL MIDDLE",0.086,0.144,0.182,"Circle Pines",1
"57",57,"Dtype 1 Dnum 12 Snum 166",2,1,658.8,8961.456099,"CENTENNIAL MIDDLE",0.086,0.144,0.182,"Circle Pines",1
"58",58,"Dtype 1 Dnum 129 Snum 30",0,1,648.2,8875.646872,"MONTEVIDEO MIDDLE",0.076923077,0.120879121,0.43956044,"Montevideo",1
"59",59,"Dtype 1 Dnum 129 Snum 30",1,1,648.1,9116.195917,"MONTEVIDEO MIDDLE",0.076923077,0.120879121,0.43956044,"Montevideo",1
"60",60,"Dtype 1 Dnum 129 Snum 30",2,1,655.3,8933.427045,"MONTEVIDEO MIDDLE",0.076923077,0.120879121,0.43956044,"Montevideo",1
"61",61,"Dtype 1 Dnum 13 Snum 17",0,1,648.2,10264.56999,"CENTRAL MIDDLE",0.621621622,0.151351351,0.724324324,"Columbia Heights",1
"62",62,"Dtype 1 Dnum 13 Snum 17",1,1,642.6,10804.80324,"CENTRAL MIDDLE",0.621621622,0.151351351,0.724324324,"Columbia Heights",1
"63",63,"Dtype 1 Dnum 13 Snum 17",2,1,645.4,10865.4133,"CENTRAL MIDDLE",0.621621622,0.151351351,0.724324324,"Columbia Heights",1
"64",64,"Dtype 1 Dnum 138 Snum 20",0,1,656,7495.201921,"NORTH BRANCH MIDDLE",0.035433071,0.122047244,0.307086614,"North Branch",1
"65",65,"Dtype 1 Dnum 138 Snum 20",1,1,653.5,7944.735552,"NORTH BRANCH MIDDLE",0.035433071,0.122047244,0.307086614,"North Branch",1
"66",66,"Dtype 1 Dnum 138 Snum 20",2,1,654.4,7912.888148,"NORTH BRANCH MIDDLE",0.035433071,0.122047244,0.307086614,"North Branch",1
"67",67,"Dtype 1 Dnum 139 Snum 10",0,1,651.7,7411.391283,"C.E. JACOBSON ELEMENTARY",0.032258065,0.080645161,0.370967742,"Rush City",1
"68",68,"Dtype 1 Dnum 139 Snum 10",1,1,650.8,7516.065332,"C.E. JACOBSON ELEMENTARY",0.032258065,0.080645161,0.370967742,"Rush City",1
"69",69,"Dtype 1 Dnum 139 Snum 10",2,1,654.4,7504.759931,"C.E. JACOBSON ELEMENTARY",0.032258065,0.080645161,0.370967742,"Rush City",1
"70",70,"Dtype 1 Dnum 14 Snum 23",0,1,652.2,9598.924981,"FRIDLEY MIDDLE",0.295454545,0.142045455,0.477272727,"Fridley",1
"71",71,"Dtype 1 Dnum 14 Snum 23",1,1,654.3,9940.8616,"FRIDLEY MIDDLE",0.295454545,0.142045455,0.477272727,"Fridley",1
"72",72,"Dtype 1 Dnum 14 Snum 23",2,1,656.1,9902.133902,"FRIDLEY MIDDLE",0.295454545,0.142045455,0.477272727,"Fridley",1
"73",73,"Dtype 1 Dnum 146 Snum 10",0,1,652,8647.552835,"BARNESVILLE ELEMENTARY",0.028169014,0.098591549,0.211267606,"Barnesville",0
"74",74,"Dtype 1 Dnum 146 Snum 10",1,1,658.2,8817.952497,"BARNESVILLE ELEMENTARY",0.028169014,0.098591549,0.211267606,"Barnesville",0
"75",75,"Dtype 1 Dnum 146 Snum 10",2,1,655,8626.77242,"BARNESVILLE ELEMENTARY",0.028169014,0.098591549,0.211267606,"Barnesville",0
"76",76,"Dtype 1 Dnum 15 Snum 123",0,1,653.5,8462.778847,"ST. FRANCIS MIDDLE",0.054830287,0.091383812,0.253263708,"St. Francis",1
"77",77,"Dtype 1 Dnum 15 Snum 123",1,1,652.1,8674.931414,"ST. FRANCIS MIDDLE",0.054830287,0.091383812,0.253263708,"St. Francis",1
"78",78,"Dtype 1 Dnum 15 Snum 123",2,1,657.1,8189.389213,"ST. FRANCIS MIDDLE",0.054830287,0.091383812,0.253263708,"St. Francis",1
"79",79,"Dtype 1 Dnum 150 Snum 10",0,1,652,7690.607236,"HAWLEY ELEMENTARY",0.015873016,0.158730159,0.26984127,"Hawley ",0
"80",80,"Dtype 1 Dnum 150 Snum 10",1,1,653.4,7836.365503,"HAWLEY ELEMENTARY",0.015873016,0.158730159,0.26984127,"Hawley ",0
"81",81,"Dtype 1 Dnum 150 Snum 10",2,1,659.5,7704.492428,"HAWLEY ELEMENTARY",0.015873016,0.158730159,0.26984127,"Hawley ",0
"82",82,"Dtype 1 Dnum 152 Snum 380",0,1,657.4,8390.54368,"HORIZON MIDDLE SCHOOL",0.151098901,0.137362637,0.266483516,"Moorhead",1
"83",83,"Dtype 1 Dnum 152 Snum 380",1,1,654.4,8431.740093,"HORIZON MIDDLE SCHOOL",0.151098901,0.137362637,0.266483516,"Moorhead",1
"84",84,"Dtype 1 Dnum 152 Snum 380",2,1,654.5,8238.844973,"HORIZON MIDDLE SCHOOL",0.151098901,0.137362637,0.266483516,"Moorhead",1
"85",85,"Dtype 1 Dnum 16 Snum 777",2,1,659.7,9211.155879,"LEARNING ALTERNATIVES COMMUNITY SCH",0.2,0.1,0.2,"spring Lake Park",1
"86",86,"Dtype 1 Dnum 16 Snum 92",0,1,653.4,8933.237834,"WESTWOOD MIDDLE",0.296296296,0.157407407,0.351851852,"spring Lake Park",1
"87",87,"Dtype 1 Dnum 16 Snum 92",1,1,652.2,9295.1246,"WESTWOOD MIDDLE",0.296296296,0.157407407,0.351851852,"spring Lake Park",1
"88",88,"Dtype 1 Dnum 16 Snum 92",2,1,656.1,9211.155879,"WESTWOOD MIDDLE",0.296296296,0.157407407,0.351851852,"spring Lake Park",1
"89",89,"Dtype 1 Dnum 162 Snum 10",0,1,645.8,8596.469317,"BAGLEY ELEMENTARY",0.373134328,0.179104478,0.597014925,"Bagley",0
"90",90,"Dtype 1 Dnum 162 Snum 10",1,1,650.5,8830.730184,"BAGLEY ELEMENTARY",0.373134328,0.179104478,0.597014925,"Bagley",0
