academicyear,unitid,instname,state,iclevel,appliedaid02,Average aid,grant07,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg_amount,loan_num,loan_pct,loan_avg_amount,tuitionfee01_tf,totalcompletions_100fte,ft_faculty_per_100fte,actcm25,actcm75
2007,448886,Arizona State University at the Downtown Phoenix Campus,AZ,1,91000,8402.597403,647000,77,91,39,46,3587,10,12,1247,60,71,3935,28,33,5675,4688,28.04873217,4.380713051,18,23
2006,446048,Ave Maria University,FL,1,,43461.1,2607666,60,81,19,26,2718,18,24,3179,55,74,6552,30,41,3248,14370,13.94903239,10.99827554,23,28
2007,446048,Ave Maria University,FL,1,,52809.4125,4224753,80,100,20,25,3496,17,21,2833,76,95,8178,43,54,8885,15805,24.83672874,12.55482991,23,29
2008,446048,Ave Maria University,FL,1,,57681.58871,7152517,124,55,36,16,3588,10,4,2717,123,55,11521,78,35,7320,16255,28.79836024,9.370894998,22,28
2008,445188,University of California-Merced,CA,1,2899000,35397.66082,18159000,513,77,266,40,3775,263,39,3932,437,65,6417,303,45,3458,7148,4.072384831,7.180257466,18,25
2009,445188,University of California-Merced,CA,1,4426000,26912.76042,20669000,768,83,403,44,4506,411,45,4876,692,75,6642,410,44,4681,7749,10.66138593,6.972325052,18,24
2005,443410,DigiPen Institute of Technology,WA,1,,3029.602041,296901,98,40,40,16,2428,6,2,1176,5,2,500,92,37,3293,13960,15.99305083,5.531442939,25,29
2006,443410,DigiPen Institute of Technology,WA,1,,3341.496815,524615,157,94,49,29,2494,6,4,4376,12,7,1985,151,90,2636,13960,1.382784882,4.455640174,23,30
2007,443410,DigiPen Institute of Technology,WA,1,,7878.401515,1039949,132,95,34,24,2629,8,6,5390,31,22,3420,130,94,5620,15360,9.818660903,3.98891805,22,28
2008,443410,DigiPen Institute of Technology,WA,1,,11873.39695,1555415,131,99,44,33,3763,10,8,5909,22,17,3638,117,89,15506,16720,17.3450416,4.456712078,24,29
2008,441982,Franklin W. Olin College of Engineering,MA,1,33874,138570.3378,10254205,74,100,3,4,4993,13,18,1500,74,100,34103,9,12,4003,33775,20.73578595,12.37458194,33,36
2006,441937,California State University-Channel Islands,CA,1,85898.76563,17792.16162,3522848,198,53,75,20,2828,108,29,2411,89,24,2536,122,33,2832,2980,19.76787735,4.20010327,17,22
2007,441937,California State University-Channel Islands,CA,1,95942,23350.81553,4810268,206,46,105,23,3400,105,23,2410,95,21,3208,136,30,3140,2980,15.56299359,3.977305135,18,24
2008,441937,California State University-Channel Islands,CA,1,92609,22492.32443,5892989,262,51,130,25,3621,135,26,2424,140,27,2593,174,34,3789,3452,25.6402093,3.910131919,18,23
2004,439321,Ave Maria College,MI,1,,26004.66667,1560280,60,88,22,32,3407,8,12,2593,53,78,3774,49,72,5519,10000,12.66214455,5.997857945,23,27
2005,439321,Ave Maria College,MI,1,,48853.26667,732799,15,100,9,60,1378,4,27,1300,14,93,2429,12,80,3423,12000,33.93412099,8.701056665,23,28
2003,433660,Florida Gulf Coast University,FL,1,,10279.94136,6661402,648,82,157,20,2972,510,64,1911,303,38,1688,229,29,3527,2628,22.59713954,4.718997057,19,23
2004,433660,Florida Gulf Coast University,FL,1,,10155.86571,7109106,700,85,161,19,2893,567,69,412,308,37,1840,235,28,3707,2908,21.1286544,4.238977685,19,23
2005,433660,Florida Gulf Coast University,FL,1,,15562.04195,11500349,739,82,134,15,2638,595,66,602,317,35,1966,218,24,4185,3056,25.03568491,4.802241351,20,24
2006,433660,Florida Gulf Coast University,FL,1,,15189.13327,15842266,1043,83,166,13,2159,864,69,2183,414,33,1782,325,26,4346,3373,21.01484406,4.386762003,19,23
2007,433660,Florida Gulf Coast University,FL,1,,14561.85397,18347936,1260,83,209,14,1680,1088,72,2280,505,33,1950,376,25,4633,3565,20.95045899,4.095611038,19,23
2008,433660,Florida Gulf Coast University,FL,1,,15168.57294,21524205,1419,79,267,15,3589,173,10,1478,379,21,1874,492,28,4935,3657,21.76204792,4.049360658,20,23
2009,433660,Florida Gulf Coast University,FL,1,,14525.60798,22935935,1579,86,301,16,4176,1342,73,2701,310,17,4112,532,29,5685,3979,22.54462503,3.818326455,20,23
2006,420574,Arizona State University at the Polytechnic Campus,AZ,1,,5500,187000,34,89,11,29,3855,3,8,2000,26,68,6395,9,24,3708,4295,34.8626896,4.863735718,20,25
2007,420574,Arizona State University at the Polytechnic Campus,AZ,1,305000,37666.66667,1695000,45,74,14,23,3211,4,7,1350,35,57,4753,21,34,10397,4447,23.81431461,4.484332926,19,25
2006,409698,California State University-Monterey Bay,CA,1,,39368.0146,10786836,274,51,143,26,3184,148,27,1857,130,24,2941,205,38,3292,2999,18.51581584,3.720741475,17,23
2007,409698,California State University-Monterey Bay,CA,1,,38667.72881,11406980,295,57,168,33,3295,149,29,2104,155,30,3650,195,38,3079,3002,19.60786713,3.91248158,17,24
2008,409698,California State University-Monterey Bay,CA,1,,24440.50575,10631620,435,59,234,32,3804,219,30,2005,234,32,3910,302,41,4148,3256,19.45948335,3.800259213,17,23
2009,409698,California State University-Monterey Bay,CA,1,,21270.37893,11507275,541,60,253,28,4453,220,24,1716,290,32,3715,389,43,4523,3535,16.58320033,3.402984447,18,23
2003,407009,Arizona State University at the West Campus,AZ,1,,11063.63636,2434000,220,73,71,24,3016,8,3,1250,155,51,2328,61,20,2939,2585,35.70680444,4.149657515,18,24
2004,407009,Arizona State University at the West Campus,AZ,1,,18517.50973,4759000,257,75,99,29,2978,9,3,944,198,58,2921,88,26,3367,3595,34.62879201,3.814531305,19,24
