id,daysTraining,microagressions,hoursSurveillance
1,2,0,15
2,3,3,12
3,4,1,2
4,2,11,11
5,2,6,14
6,2,17,30
7,3,14,36
8,1,4,34
9,1,9,37
10,1,13,24
11,1,53,54
12,3,1,8
13,3,5,10
14,4,4,19
15,2,14,44
16,3,6,30
17,2,8,19
18,1,6,10
19,3,3,25
20,2,1,2
21,2,2,12
22,4,2,10
23,2,1,6
24,1,1,3
25,2,1,3
26,2,4,6
27,2,1,3
28,3,6,20
29,1,7,12
30,3,3,14
31,2,1,3
32,2,1,2
33,2,1,2
34,2,37,65
35,3,8,53
36,2,2,18
37,4,0,1
38,1,3,5
39,2,2,3
40,2,0,1
41,3,0,7
42,4,13,49
43,3,6,31
44,1,6,9
45,4,3,11
46,3,9,20
47,2,6,18
48,4,2,6
49,1,6,6
50,2,21,40
51,0,7,8
52,2,10,15
53,3,5,38
54,3,9,15
55,1,0,7
56,2,7,4
57,1,16,22
58,0,2,4
59,2,0,2
60,3,2,10
61,0,0,7
62,0,11,7
63,2,5,25
64,2,7,5
65,2,9,34
66,2,4,14
67,3,4,10
68,0,34,98
69,0,1,2
70,0,5,15
71,2,40,73
72,1,9,15
73,3,1,8
74,3,1,3
75,4,2,6
76,3,4,15
77,4,1,2
78,2,14,34
79,1,12,27
80,1,7,33
81,2,0,2
82,3,1,5
83,1,5,12
84,2,6,23
85,2,5,16
86,2,1,6
87,1,4,9
88,0,8,19
89,2,6,28
90,4,5,53
91,1,2,36
92,3,9,59
93,1,3,5
94,3,9,41
95,2,1,6
96,3,1,17
97,0,4,10
98,3,10,31
99,3,15,34
100,2,2,18
