SPECIES,SECTION,LOGHEIGHT,TRANSECT,TREE,TUBEX,YEAR,AGE,HEIGHT,STATUS,ID
17,1,1.609437912,5,1,0,2010,20,5,1,1
17,1,1.360976553,5,1,0,2006,16,3.9,1,1
17,1,1.011600912,5,1,0,2002,12,2.75,1,1
17,1,0.451075619,5,1,0,1999,9,1.57,1,1
17,1,0.089840704,5,1,0,1995,5,1.094,1,1
17,1,-0.127833372,5,1,0,1992,2,0.88,1,1
17,1,-0.15431736,5,1,0,1993,3,0.857,1,1
17,1,-0.203340924,5,1,0,1991,1,0.816,1,1
17,1,-0.527632742,5,1,0,1990,0,0.59,1,1
17,1,1.871802177,5,2,0,2010,20,6.5,1,2
17,1,1.526056303,5,2,0,2006,16,4.6,1,2
17,1,1.294727168,5,2,0,2002,12,3.65,1,2
17,1,1.004301609,5,2,0,1999,9,2.73,1,2
17,1,0.936093359,5,2,0,1997,7,2.55,1,2
17,1,0.56815069,5,2,0,1995,5,1.765,1,2
17,1,0.089840704,5,2,0,1993,3,1.094,1,2
17,1,0.024692613,5,2,0,1992,2,1.025,1,2
17,1,-0.260066905,5,2,0,1991,1,0.771,1,2
17,1,-1.237874356,5,2,0,1990,0,0.29,1,2
17,1,2.208274414,5,3,0,2010,20,9.1,1,3
17,1,1.974081026,5,3,0,2006,16,7.2,1,3
17,1,1.504077397,5,3,0,2002,12,4.5,1,3
17,1,1.193922468,5,3,0,1999,9,3.3,1,3
17,1,1.064710737,5,3,0,1997,7,2.9,1,3
17,1,0.009950331,5,3,0,1992,2,1.01,1,3
17,1,0.006975614,5,3,0,1993,3,1.007,1,3
17,1,-0.335472736,5,3,0,1991,1,0.715,1,3
17,1,-0.570929548,5,3,0,1990,0,0.565,1,3
17,1,2.041220329,5,4,0,2010,20,7.7,1,4
17,1,1.808288771,5,4,0,2006,16,6.1,1,4
17,1,1.410986974,5,4,0,2002,12,4.1,1,4
17,1,0.966983846,5,4,0,1999,9,2.63,1,4
17,1,0.678033543,5,4,0,1997,7,1.97,1,4
17,1,0.510425544,5,4,0,1995,5,1.666,1,4
17,1,0.356274864,5,4,0,1993,3,1.428,1,4
17,1,-0.134674903,5,4,0,1992,2,0.874,1,4
17,1,-0.32573014,5,4,0,1991,1,0.722,1,4
17,1,-0.606969484,5,4,0,1990,0,0.545,1,4
17,1,2.091864062,5,5,0,2010,20,8.1,1,5
17,1,1.902107526,5,5,0,2006,16,6.7,1,5
17,1,1.547562509,5,5,0,2002,12,4.7,1,5
17,1,1.153731588,5,5,0,1999,9,3.17,1,5
17,1,1.043804052,5,5,0,1997,7,2.84,1,5
17,1,0.675492245,5,5,0,1995,5,1.965,1,5
17,1,0.202124184,5,5,0,1993,3,1.224,1,5
17,1,-0.126697653,5,5,0,1992,2,0.881,1,5
17,1,-0.891598119,5,5,0,1990,0,0.41,1,5
17,1,-1.258781041,5,5,0,1991,1,0.284,1,5
17,1,2.341805806,5,6,0,2010,20,10.4,1,6
17,1,2.066862759,5,6,0,2006,16,7.9,1,6
17,1,1.757857918,5,6,0,2002,12,5.8,1,6
17,1,1.386294361,5,6,0,1999,9,4,1,6
17,1,1.244154594,5,6,0,1997,7,3.47,1,6
17,1,0.901380119,5,6,0,1995,5,2.463,1,6
17,1,0.712949808,5,6,0,1990,0,2.04,1,6
17,1,0.693147181,5,6,0,1992,2,2,1,6
17,1,0.670390193,5,6,0,1991,1,1.955,1,6
17,1,0.548121409,5,6,0,1993,3,1.73,1,6
17,2,0.703097511,7,9,0,1997,7,2.02,1,9
17,2,0.306749135,7,9,0,1995,5,1.359,1,9
17,2,0.207014169,7,9,0,1990,0,1.23,1,9
17,2,0.196388814,7,9,0,1993,3,1.217,1,9
17,2,-0.061875404,7,9,0,1992,2,0.94,1,9
17,2,-0.487760351,7,9,0,1991,1,0.614,1,9
17,2,2.251291799,7,10,0,2010,20,9.5,1,10
17,2,1.931521412,7,10,0,2006,16,6.9,1,10
17,2,1.458615023,7,10,0,2002,12,4.3,1,10
17,2,1.08180517,7,10,0,1999,9,2.95,1,10
17,2,0.97455964,7,10,0,1997,7,2.65,1,10
17,2,0.300845059,7,10,0,1995,5,1.351,1,10
17,2,0.152721087,7,10,0,1993,3,1.165,1,10
17,2,0.117783036,7,10,0,1992,2,1.125,1,10
17,2,-0.030459207,7,10,0,1990,0,0.97,1,10
17,2,-0.314710745,7,10,0,1991,1,0.73,1,10
17,2,0.262364264,7,11,0,1997,7,1.3,1,11
17,2,0.025667747,7,11,0,1995,5,1.026,1,11
17,2,-0.285018955,7,11,0,1993,3,0.752,1,11
17,2,-0.562118918,7,11,0,1991,1,0.57,1,11
17,2,-0.588787165,7,11,0,1992,2,0.555,1,11
17,2,-1.290984181,7,11,0,1990,0,0.275,1,11
17,2,2.151762203,9,12,0,2010,20,8.6,1,12
17,2,1.704748092,9,12,0,2006,16,5.5,1,12
17,2,1.458615023,9,12,0,2002,12,4.3,1,12
17,2,1.08180517,9,12,0,1999,9,2.95,1,12
17,2,0.815364813,9,12,0,1997,7,2.26,1,12
17,2,0.297137231,9,12,0,1995,5,1.346,1,12
17,2,0.096218858,9,12,0,1993,3,1.101,1,12
17,2,0.058268908,9,12,0,1991,1,1.06,1,12
17,2,0.039220713,9,12,0,1992,2,1.04,1,12
17,2,0,9,12,0,1990,0,1,1,12
17,2,2.433613355,9,13,0,2010,20,11.4,1,13
17,2,2.041220329,9,13,0,2006,16,7.7,1,13
17,2,1.713797928,9,13,0,2002,12,5.55,1,13
17,2,1.342864803,9,13,0,1999,9,3.83,1,13
17,2,0.943905899,9,13,0,1997,7,2.57,1,13
17,2,0.192271888,9,13,0,1995,5,1.212,1,13
17,2,-0.046043939,9,13,0,1993,3,0.955,1,13
17,2,-0.233193887,9,13,0,1991,1,0.792,1,13
17,2,-0.233193887,9,13,0,1992,2,0.792,1,13
17,2,-0.267879445,9,13,0,1990,0,0.765,1,13
17,2,2.341805806,9,15,0,2010,20,10.4,1,15
17,2,2.116255515,9,15,0,2006,16,8.3,1,15
17,2,1.945910149,9,15,0,2002,12,7,1,15
17,2,1.319085611,9,15,0,1999,9,3.74,1,15
17,2,1.131402111,9,15,0,1997,7,3.1,1,15
17,2,0.601031892,9,15,0,1995,5,1.824,1,15
17,2,0.077886539,9,15,0,1993,3,1.081,1,15
17,2,0.019802627,9,15,0,1992,2,1.02,1,15
17,2,-0.468404908,9,15,0,1991,1,0.626,1,15
17,2,-0.663588378,9,15,0,1990,0,0.515,1,15
17,1,2.079441542,3,17,0,2010,20,8,1,17
17,1,1.609437912,3,17,0,2006,16,5,1,17
17,1,0.955511445,3,17,0,2002,12,2.6,1,17
17,1,0.667829373,3,17,0,1999,9,1.95,1,17
17,1,0.470003629,3,17,0,1997,7,1.6,1,17
17,1,0.43502391,3,17,0,1995,5,1.545,1,17
17,1,0.157003749,3,17,0,1993,3,1.17,1,17
17,1,0.021761492,3,17,0,1992,2,1.022,1,17
17,1,-0.555125883,3,17,0,1991,1,0.574,1,17
17,2,2.2300144,7,26,0,2010,20,9.3,1,20
17,2,1.871802177,7,26,0,2006,16,6.5,1,20
17,2,1.410986974,7,26,0,2002,12,4.1,1,20
17,2,0.875468737,7,26,0,1999,9,2.4,1,20
17,2,0.277631737,7,26,0,1997,7,1.32,1,20
17,2,0.178146185,7,26,0,1995,5,1.195,1,20
17,2,2.451005098,9,27,0,2010,20,11.6,1,21
17,2,2.054123734,9,27,0,2006,16,7.8,1,21
17,2,1.722766598,9,27,0,2002,12,5.6,1,21
17,2,0.815364813,9,27,0,1999,9,2.26,1,21
17,2,0.322083499,9,27,0,1997,7,1.38,1,21
17,2,0.047837329,9,27,0,1995,5,1.049,1,21
17,2,2.602689685,11,33,0,2010,20,13.5,1,23
17,2,2.272125886,11,33,0,2006,16,9.7,1,23
17,2,1.85629799,11,33,0,2002,12,6.4,1,23
17,2,1.115141591,11,33,0,1999,9,3.05,1,23
